"id","decision","t_decides","p_button","trial","trustee","block","pchoice_onset","pchoice_offset","pchoice_rt","dchoice_onset","dchoice_offset","iti_onset","outcome_onset","outcome_offset","first_fixation","pchoice_duration","dchoice_duration","outcome_duration","trustee_dummy","noresponse","comp","trial_cwc","trial_cnc","model","Qshare","pshare_pred","R2","alpha_transformed","beta_transformed","kappaS_transformed","kappaT_bad_transformed","kappaT_good_transformed","kappaT_computer_transformed","PE_mult_z","V_mult_z","p_decides","reward","run"
203521,1,"keep",2,100,"neutral",50,522.844,523.478,0.629,523.495,523.694,524.996,523.795,524.894,151.761,0.634,0.199,1.099,0,0,1,100,52,"policy",1.140146874,0.735522555,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-1.597067657,1.120085561,1,0,NA
203521,1,"share",2,101,"neutral",50,527.565,528.009,0.439,528.032,528.231,529.533,528.332,529.431,151.761,0.444,0.199,1.099,0,0,1,101,53,"policy",0.863190959,0.663772231,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.667411145,0.586482348,1,1.5,NA
203521,1,"share",7,102,"neutral",50,532.369,533.469,1.097,533.487,533.686,534.988,533.787,534.886,151.761,1.1,0.199,1.099,0,0,1,102,54,"policy",1.017879828,0.705067152,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.470282076,0.884517065,1,1.5,NA
203521,1,"keep",7,103,"neutral",50,536.973,537.599,0.618,537.624,537.823,539.125,537.924,539.023,151.761,0.626,0.199,1.099,0,0,1,103,55,"policy",1.134992839,0.734280174,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-1.590499569,1.110155426,1,0,NA
203521,1,"keep",2,104,"neutral",50,542.244,542.91,0.659,542.928,543.127,544.43,543.229,544.328,151.761,0.666,0.199,1.099,0,0,1,104,56,"policy",0.859288903,0.662693879,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-1.239153926,0.578964367,1,0,NA
203521,1,"share",2,105,"neutral",50,547.566,548.05,0.477,548.083,548.282,549.584,548.383,549.482,151.761,0.484,0.199,1.099,0,0,1,105,57,"policy",0.650556897,0.602779544,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.938383161,0.17680625,1,1.5,NA
203521,1,"share",7,106,"neutral",50,553.388,554.471,1.075,554.488,554.687,555.99,554.789,555.888,151.761,1.083,0.199,1.099,0,0,1,106,58,"policy",0.856897235,0.662032091,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.675431604,0.574356408,1,1.5,NA
203521,1,"keep",2,107,"neutral",50,557.942,559.111,1.162,559.143,559.342,560.644,559.443,560.542,151.761,1.169,0.199,1.099,0,0,1,107,59,"policy",1.013114929,0.703839704,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-1.435183423,0.875336667,1,0,NA
203521,1,"keep",7,108,"neutral",50,563.196,564.111,0.912,564.13,564.329,565.632,564.431,565.53,151.761,0.915,0.199,1.099,0,0,1,108,60,"policy",0.76701666,0.636719669,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-1.121566012,0.401186017,1,0,NA
203521,1,"share",2,109,"neutral",50,567.683,568.542,0.854,568.568,568.767,570.069,568.868,569.967,151.761,0.859,0.199,1.099,0,0,1,109,61,"policy",0.580698733,0.5819115,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,1.027407502,0.042212482,1,1.5,NA
