"id","run","nifti"
221193,2,"nfasm-sub-221193_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221256,1,NA
221256,2,"nfasm-sub-221256_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221257,1,"nfasm-sub-221257_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221257,2,"nfasm-sub-221257_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221322,1,"nfasm-sub-221322_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221322,2,"nfasm-sub-221322_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221386,1,"nfasm-sub-221386_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221386,2,"nfasm-sub-221386_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221389,1,"nfasm-sub-221389_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221389,2,"nfasm-sub-221389_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221408,1,"nfasm-sub-221408_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221408,2,"nfasm-sub-221408_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221409,1,"nfasm-sub-221409_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221409,2,"nfasm-sub-221409_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221451,1,"nfasm-sub-221451_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221451,2,"nfasm-sub-221451_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221452,1,"nfasm-sub-221452_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221452,2,"nfasm-sub-221452_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221465,1,"nfasm-sub-221465_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221465,2,"nfasm-sub-221465_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221471,1,"nfasm-sub-221471_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221471,2,"nfasm-sub-221471_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221473,1,"nfasm-sub-221473_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221473,2,"nfasm-sub-221473_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221475,1,"nfasm-sub-221475_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221475,2,"nfasm-sub-221475_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221485,1,"nfasm-sub-221485_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221485,2,"nfasm-sub-221485_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221486,1,"nfasm-sub-221486_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221486,2,"nfasm-sub-221486_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221489,1,"nfasm-sub-221489_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
